id,lb,ub,ap,an,t
ACALD,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
ACALDt,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
ACKr,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
ACONTa,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
ACONTb,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
ACt2r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
ADK1,-1000.0,1000.0,9.136094175912153e-5,0.0003879628719986319,0.0
AKGDH,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
AKGt2r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
ALCD2x,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
ATPM,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
ATPS4r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
Biomass_Ecoli_core_w/GAM,0.0,1000.0,0.0,0.0,0.0
CO2t,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
CS,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
CYTBD,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
D_LACt2,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
ENO,-1000.0,1000.0,0.0014399851356373095,0.01215099715099715,0.0
ETOHt2r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
EX_ac(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_acald(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_akg(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_co2(e),-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_etoh(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_for(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_fru(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_fum(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_glc(e),-10.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_gln_L(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_glu_L(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_h(e),-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_h2o(e),-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_lac_D(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_mal_L(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_nh4(e),-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_o2(e),-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_pi(e),-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_pyr(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_succ(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
FBA,-1000.0,1000.0,0.005696812648236434,0.11551124170571056,0.0
FBP,0.0,1000.0,0.4273504273504274,0.4273504273504274,0.0
FORt2,0.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
FORti,0.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
FRD7,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
FRUpts2,0.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
FUM,-1000.0,1000.0,0.0005341880341880341,0.01215099715099715,0.0
FUMt2_2,0.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
G6PDH2r,-1000.0,1000.0,0.0013097429910039367,0.01215099715099715,0.0
GAPD,-1000.0,1000.0,0.004985754985754986,0.01215099715099715,0.0
GLCpts,-10.0,10.0,0.01215099715099715,0.01215099715099715,1.0
GLNS,0.0,1000.0,0.10633602182897958,0.10633602182897958,0.0
GLNabc,0.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
GLUDy,-1000.0,1000.0,0.000475167258875124,1.0602964355145856e-5,0.0
GLUN,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
GLUSy,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
